,AC,AF,AR,AS,AST,AY,AwayTeam,Date,Div,FTAG,FTHG,FTR,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWD,IWH,Referee,WHA,WHD,WHH,HomeLastWin,VisitorLastWin,HmLasthlll,VisLasthlll,Hmdwl,Visdwl,HomeWinStreak,VisitorWinStreak,HomeUnbeatenStreak,VisitorUnbeatenStreak,HomeLosingStreak,VisitorLosingStreak,prev_HS,prev_AS,prev_HST,prev_AST,prev_HC,prev_AC,AtHomeWinStreak,HomeWinAgainstVisitor,HomeWinAgainstVisitorStreak,VisitorWinAgainstHomeStreak,VisitorWPLast5,HomeWPLast5,VisitorWPALast5,HomeWPHLast5,HomeWinAgainstVisitorL5,VisitorWinAgainstHomeL5
0,6.0,12.0,0.0,8.0,4.0,2.0,Man City,19/08/00,E0,0.0,4.0,H,6.0,13.0,0.0,17.0,14.0,0.0,2.0,H,1.0,Charlton,2.7,2.9,2.2,Rob Harris,3.1,3.2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,7.0,14.0,0.0,12.0,5.0,2.0,West Ham,19/08/00,E0,2.0,4.0,H,7.0,19.0,0.0,17.0,10.0,0.0,1.0,H,1.0,Chelsea,4.2,3.2,1.6,Graham Barber,6.5,3.6,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,4.0,21.0,0.0,16.0,9.0,3.0,Middlesbrough,19/08/00,E0,3.0,1.0,A,8.0,15.0,1.0,6.0,3.0,1.0,1.0,D,5.0,Coventry,2.7,2.9,2.2,Barry Knight,2.62,3.2,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,8.0,13.0,0.0,13.0,6.0,1.0,Southampton,19/08/00,E0,2.0,2.0,D,5.0,11.0,0.0,6.0,4.0,2.0,1.0,A,1.0,Derby,3.5,3.0,1.8,Andy D'Urso,3.2,3.2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,20.0,0.0,12.0,6.0,3.0,Everton,19/08/00,E0,0.0,2.0,H,6.0,21.0,0.0,17.0,8.0,0.0,2.0,H,1.0,Leeds,4.5,3.3,1.55,Dermot Gallagher,4.5,3.5,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.0,12.0,0.0,5.0,3.0,3.0,Aston Villa,19/08/00,E0,0.0,0.0,D,5.0,12.0,0.0,5.0,4.0,0.0,0.0,D,2.0,Leicester,2.5,2.9,2.3,Mike Riley,2.5,3.25,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,8.0,0.0,3.0,2.0,1.0,Bradford,19/08/00,E0,0.0,1.0,H,6.0,8.0,0.0,16.0,10.0,0.0,0.0,D,1.0,Liverpool,8.0,4.3,1.25,Paul Durkin,8.0,4.0,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,9.0,21.0,1.0,14.0,7.0,1.0,Arsenal,19/08/00,E0,0.0,1.0,H,2.0,10.0,0.0,8.0,2.0,0.0,0.0,D,3.0,Sunderland,2.1,2.9,2.9,Steve Dunn,1.9,3.0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,4.0,13.0,0.0,15.0,5.0,0.0,Ipswich,19/08/00,E0,1.0,3.0,H,3.0,14.0,0.0,20.0,6.0,1.0,2.0,H,0.0,Tottenham,4.7,3.4,1.5,Alan Wiley,6.5,3.6,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,13.0,0.0,9.0,6.0,1.0,Newcastle,20/08/00,E0,0.0,2.0,H,7.0,7.0,0.0,19.0,9.0,0.0,1.0,H,0.0,Man United,5.0,3.5,1.45,Steve Lodge,7.0,3.75,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
